iter	Passed	Remaining
884	1084	140
885	1085	139
886	1085	138
887	1086	137
888	1087	135
889	1087	134
890	1088	133
891	1090	132
892	1091	130
893	1091	129
894	1092	128
895	1093	126
896	1095	125
897	1096	124
898	1097	123
899	1099	122
900	1100	120
901	1102	119
902	1103	118
903	1103	117
904	1105	115
905	1106	114
906	1106	113
907	1107	112
908	1108	111
909	1111	109
910	1112	108
911	1113	107
912	1114	106
913	1115	104
914	1116	103
915	1132	103
916	1133	102
917	1134	101
918	1135	100
919	1136	98
920	1137	97
921	1137	96
922	1138	94
923	1139	93
924	1140	92
925	1142	91
926	1142	90
927	1143	88
928	1144	87
929	1145	86
930	1146	84
931	1162	84
932	1163	83
933	1164	82
934	1165	80
935	1165	79
936	1166	78
937	1166	77
938	1167	75
939	1167	74
940	1168	73
941	1169	72
942	1170	70
943	1172	69
944	1173	68
945	1174	67
946	1175	65
947	1176	64
948	1176	63
949	1191	62
950	1193	61
951	1194	60
952	1195	58
953	1195	57
954	1196	56
955	1197	55
956	1197	53
957	1198	52
958	1199	51
959	1199	49
960	1200	48
961	1201	47
962	1203	46
963	1204	44
964	1205	43
965	1205	42
966	1206	41
967	1207	39
968	1208	38
969	1208	37
970	1209	36
971	1210	34
972	1210	33
973	1211	32
974	1212	31
975	1213	29
976	1214	28
977	1215	27
978	1216	26
979	1218	24
980	1218	23
981	1219	22
982	1220	21
983	1221	19
984	1221	18
985	1222	17
986	1223	16
987	1223	14
988	1224	13
989	1225	12
990	1225	11
991	1226	9
992	1227	8
993	1227	7
994	1228	6
995	1229	4
996	1229	3
997	1230	2
998	1247	1
999	1249	0
